[3, 1, 6, 7], 2.898514786759222;
[4, 2, 7, 0], 2.89851478675922;
[0, 4, 7, 5], 2.898514786759219;
[7, 4, 1, 6], 2.898514786759217;
[1, 2, 0, 1], 2.794612237577906;
[6, 5, 6, 1], 2.7946122375779026;
[1, 2, 6, 0], 2.8985147867592125;
[3, 0, 4, 7], 2.898514786759218;
[3, 7, 4, 5], 2.8985147867592187;
[3, 3, 1, 3], 2.401513893100349;
[3, 0, 0, 6], 2.794612237577913;
[1, 0, 2, 3], 2.8985147867592156;
[7, 1, 2, 1], 2.794612237577902;
[6, 5, 6, 4], 2.7946122375778955;
[7, 2, 7, 5], 2.7946122375778986;
[0, 3, 5, 3], 2.7946122375778994;
[1, 2, 5, 2], 2.794612237577905;
[7, 1, 4, 3], 2.898514786759219;
[6, 4, 5, 2], 2.898514786759218;
[3, 0, 6, 3], 2.794612237577904;
[4, 1, 7, 3], 2.898514786759223;
[1, 6, 7, 3], 2.898514786759224;
[2, 7, 0, 2], 2.7946122375779106;
[5, 0, 0, 7], 2.794612237577897;
[3, 2, 5, 6], 2.898514786759218;
[5, 7, 0, 1], 2.8985147867592143;
[5, 5, 0, 3], 2.7946122375779026;
[7, 1, 0, 5], 2.898514786759217;
[0, 1, 5, 1], 2.7946122375779034;
[6, 5, 3, 5], 2.7946122375779;
[0, 3, 0, 0], 2.401513893100341;
[4, 5, 7, 4], 2.7946122375778937;
[0, 4, 1, 4], 2.7946122375779114;
[2, 1, 1, 5], 2.7946122375779017;
[1, 2, 0, 0], 2.7946122375779;
[5, 5, 3, 7], 2.7946122375778977;
[1, 1, 5, 5], 2.553404355215509;
[2, 1, 4, 6], 2.8985147867592214;
[7, 1, 1, 1], 2.4015138931003457;
[6, 3, 0, 1], 2.89851478675922;
[3, 1, 5, 5], 2.7946122375779003;
[4, 4, 1, 7], 2.7946122375778963;
[0, 0, 6, 7], 2.7946122375778946;
[1, 0, 1, 5], 2.7946122375779074;
[5, 5, 3, 5], 2.401513893100339;
[5, 1, 3, 7], 2.8985147867592205;
[3, 2, 7, 3], 2.7946122375779057;
[1, 4, 1, 5], 2.7946122375779097;
[3, 1, 0, 5], 2.8985147867592267;
[7, 4, 1, 0], 2.8985147867592156;
[0, 4, 4, 3], 2.7946122375779026;
[6, 3, 2, 7], 2.898514786759222;
[0, 2, 1, 6], 2.8985147867592205;
[0, 4, 0, 5], 2.7946122375778994;
[0, 0, 6, 4], 2.7946122375779057;
[7, 4, 5, 5], 2.7946122375778972;
[2, 2, 3, 3], 2.553404355215524;
[2, 3, 2, 7], 2.7946122375779066;
[4, 3, 0, 1], 2.8985147867592196;
[6, 1, 3, 7], 2.8985147867592205;
[0, 6, 5, 6], 2.794612237577905;
[6, 6, 5, 3], 2.7946122375779128;
[6, 1, 2, 6], 2.7946122375779017;
[4, 1, 1, 3], 2.794612237577908;
[1, 4, 4, 3], 2.7946122375779003;
[5, 1, 3, 2], 2.8985147867592183;
[7, 5, 7, 7], 2.4015138931003457;
[3, 3, 2, 3], 2.4015138931003466;
[1, 4, 6, 7], 2.8985147867592143;
[7, 2, 3, 7], 2.794612237577896;
[4, 7, 7, 3], 2.7946122375779017;
[6, 1, 0, 3], 2.8985147867592196;
[3, 5, 6, 3], 2.7946122375778986;
[4, 3, 3, 7], 2.7946122375778977;
[5, 3, 2, 2], 2.7946122375779034;
[0, 2, 5, 0], 2.7946122375779003;
[2, 6, 1, 1], 2.7946122375779026;
[1, 7, 5, 2], 2.8985147867592156;
[1, 6, 1, 1], 2.401513893100347;
[4, 3, 2, 0], 2.8985147867592214;
[1, 0, 5, 1], 2.7946122375778963;
[6, 7, 3, 1], 2.898514786759223;
[6, 2, 4, 4], 2.794612237577907;
[7, 0, 5, 4], 2.8985147867592174;
[4, 3, 0, 7], 2.8985147867592214;
[3, 5, 0, 5], 2.794612237577906;
[3, 6, 4, 0], 2.8985147867592183;
[5, 6, 4, 6], 2.7946122375779074;
[6, 7, 1, 3], 2.898514786759219;
[6, 0, 2, 5], 2.8985147867592196;
[6, 7, 0, 6], 2.7946122375779057;
[6, 6, 3, 0], 2.794612237577899;
[0, 2, 4, 6], 2.8985147867592205;
[2, 2, 2, 7], 2.401513893100351;
[2, 5, 5, 6], 2.7946122375779066;
[5, 4, 0, 5], 2.7946122375778955;
[2, 5, 2, 1], 2.794612237577901;
[3, 4, 7, 5], 2.8985147867592236;
[7, 1, 3, 0], 2.898514786759218;
[2, 1, 7, 7], 2.794612237577899;
[4, 0, 0, 7], 2.794612237577897;
[4, 1, 1, 1], 2.4015138931003497;
[5, 5, 6, 2], 2.7946122375779017;
[0, 5, 3, 3], 2.7946122375778963;
[0, 6, 4, 4], 2.7946122375779128;
[7, 2, 7, 6], 2.794612237577898;
[1, 4, 1, 6], 2.794612237577914;
[5, 0, 4, 6], 2.8985147867592214;
[3, 0, 3, 4], 2.7946122375779026;
[4, 7, 1, 1], 2.7946122375779114;
[7, 5, 3, 5], 2.794612237577901;
[0, 6, 3, 3], 2.7946122375779003;
[3, 3, 6, 7], 2.7946122375778977;
[0, 1, 5, 0], 2.794612237577901;
[7, 1, 3, 2], 2.8985147867592183;
[0, 0, 2, 5], 2.7946122375779012;
[1, 4, 0, 6], 2.898514786759214;
[5, 0, 7, 3], 2.89851478675922;
